Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;7,126;Q1;123;186;232;9102;1850;229;7,40;48,94;27,01;10;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1999-2026";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
2;24721;"Annals of Mathematics";journal;"0003486X, 19398980";"Department of Mathematics at Princeton University";No;No;6,760;Q1;153;29;106;1543;631;106;4,59;53,21;14,75;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;21100922606;"The Lancet Digital Health";journal;"25897500";"Elsevier Ltd";Yes;No;6,433;Q1;102;126;348;3283;4357;145;14,06;26,06;41,53;0;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2026";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
4;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";"Taylor and Francis Ltd.";No;No;6,150;Q1;127;167;207;6831;1148;192;3,14;40,90;22,19;50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
5;21307;"Management Science";journal;"00251909, 15265501";"INFORMS Inst.for Operations Res.and the Management Sciences";Yes;No;5,322;Q1;321;442;1000;23387;6239;992;5,42;52,91;25,07;142;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1965-1966, 1968-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
6;13649;"Annals of Statistics";journal;"21688966, 00905364";"Institute of Mathematical Statistics";No;No;5,219;Q1;213;142;422;7521;2232;418;4,48;52,96;22,55;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
7;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;4,906;Q1;215;83;545;9216;13071;528;23,37;111,04;31,74;16;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
8;22330;"Organizational Research Methods";journal;"15527425, 10944281";"SAGE Publications Inc.";No;No;4,626;Q1;158;29;97;2530;846;93;6,54;87,24;37,04;5;United States;Northern America;"SAGE Publications Inc.";"1998-2026";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
9;21101041823;"Strategy Science";journal;"23332077, 23332050";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;4,232;Q1;37;23;68;1583;244;63;3,26;68,83;19,57;0;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"2016-2025";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
10;12396;"Journal of Strategic Information Systems";journal;"09638687";"Elsevier B.V.";No;No;4,011;Q1;120;21;75;1819;1488;62;8,64;86,62;17,65;4;Netherlands;Western Europe;"Elsevier B.V.";"1991-2026";"Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
