Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21789;"Manufacturing and Service Operations Management";journal;"15265498, 15234614";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;7,127;Q1;123;100;180;4829;1399;178;6,55;48,29;25,41;3;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1999-2026";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
2;24721;"Annals of Mathematics";journal;"0003486X, 19398980";"Department of Mathematics at Princeton University";No;No;6,677;Q1;153;33;106;1444;619;106;5,59;43,76;7,14;0;United States;Northern America;"Department of Mathematics at Princeton University";"1996-2025";"Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
3;13649;"Annals of Statistics";journal;"21688966, 00905364";"Institute of Mathematical Statistics";No;No;6,350;Q1;213;174;375;8174;1822;372;4,65;46,98;19,95;0;United States;Northern America;"Institute of Mathematical Statistics";"1996-2025";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
4;13531;"Journal of the Royal Statistical Society. Series B: Statistical Methodology";journal;"14679868, 13697412";"Oxford University Press";No;No;6,251;Q1;165;44;126;1898;652;124;4,42;43,14;24,53;3;United Kingdom;Western Europe;"Oxford University Press";"1983, 1989, 1997-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
5;21100922606;"The Lancet Digital Health";journal;"25897500";"Elsevier Ltd";Yes;No;6,024;Q1;102;129;219;3047;2331;77;10,64;23,62;33,33;0;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2026";"Decision Sciences (miscellaneous) (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Decision Sciences; Health Professions; Medicine"
6;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";"Taylor and Francis Ltd.";No;No;5,241;Q1;127;75;192;3054;897;173;5,47;40,72;17,79;33;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2026";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
7;22330;"Organizational Research Methods";journal;"15527425, 10944281";"SAGE Publications Inc.";No;No;5,195;Q1;158;32;103;2224;904;96;7,91;69,50;24,71;9;United States;Northern America;"SAGE Publications Inc.";"1998-2026";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
8;21307;"Management Science";journal;"00251909, 15265501";"INFORMS Inst.for Operations Res.and the Management Sciences";Yes;No;5,094;Q1;321;384;944;21344;5385;934;5,00;55,58;22,77;138;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1965-1966, 1968-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
9;21101041823;"Strategy Science";journal;"23332077, 23332050";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;5,054;Q1;37;30;66;2357;215;61;2,66;78,57;26,23;0;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"2016-2025";"Business and International Management (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
10;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;4,584;Q1;215;159;504;16248;10146;496;20,23;102,19;29,82;31;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
11;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";"University of Minnesota";No;No;4,495;Q1;294;71;187;7056;1922;184;9,64;99,38;31,77;0;United States;Northern America;"University of Minnesota";"1980-2025";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
12;12094;"Journal of the American Statistical Association";journal;"01621459, 1537274X";"Taylor and Francis Ltd.";No;No;4,405;Q1;238;169;465;6983;2218;424;3,75;41,32;24,65;29;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1922-2026";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
