exported_at,candidate_id,source,source_record_id,source_record_display_name,candidate_journal_id,candidate_journal_title,similarity,issn_match,publisher_match,rank_among_candidates,decision
2026-08-31T15:42:27.894267Z,73,ABDC,11023,Banking and Finance Law Review,4210,Banking and Finance Review,0.9286,False,False,1,
2026-08-31T15:42:27.894267Z,79,ABDC,11350,Ekonomia,8456,Ekonomiaz,0.9412,False,False,1,
2026-08-31T15:42:27.894267Z,80,ABDC,11350,Ekonomia,10319,Ekonomika,0.9412,False,False,2,
2026-08-31T15:42:27.894267Z,81,ABDC,11627,Indian Journal of Economics,13254,Indian Economic Journal,0.9200,False,False,1,
2026-08-31T15:42:27.894267Z,82,ABDC,11671,Information Technology Management,961,Information Technology and Management,0.9429,False,False,1,
2026-08-31T15:42:27.894267Z,83,ABDC,11712,International Journal of Accounting and Business Finance,4118,"International Journal of Banking, Accounting and Finance",0.9189,False,False,1,
2026-08-31T15:42:27.894267Z,84,ABDC,11713,International Journal of Accounting and Finance,17449,International Journal of Accounting & Finance Review,0.9307,False,False,1,
2026-08-31T15:42:27.894267Z,85,ABDC,11713,International Journal of Accounting and Finance,4118,"International Journal of Banking, Accounting and Finance",0.9216,False,False,2,
2026-08-31T15:42:27.894267Z,86,ABDC,11722,International Journal of Applied Management and Technology,14193,International Journal of Automotive Technology and Management,0.9076,False,False,1,
2026-08-31T15:42:27.894267Z,466,ABDC,11722,International Journal of Applied Management and Technology,17971,International Journal of Healthcare Technology and Management,0.9076,False,False,2,
2026-08-31T15:42:27.894267Z,87,ABDC,11727,International Journal of Automotive Technology,17454,International Journal of Automation Technology,0.9348,False,False,1,
2026-08-31T15:42:27.894267Z,88,ABDC,11733,International Journal of Business and Economics,5329,International Journal of Economics and Business Research,0.9126,False,False,1,
2026-08-31T15:42:27.894267Z,89,ABDC,11739,International Journal of Business Law,4414,International Journal of Business,0.9429,False,False,1,
2026-08-31T15:42:27.894267Z,90,ABDC,11740,International Journal of Cases on Electronic Commerce,3072,International Journal of Electronic Commerce,0.9072,False,False,1,
2026-08-31T15:42:27.894267Z,91,ABDC,11786,International Journal of Finance,2832,International Journal of Sport Finance,0.9143,False,False,1,
2026-08-31T15:42:27.894267Z,92,ABDC,11801,International Journal of Health Finance and Economics,2273,International Journal of Finance and Economics,0.9293,False,False,1,
2026-08-31T15:42:27.894267Z,93,ABDC,11805,International Journal of Home Economics,16757,International Journal of Green Economics,0.9114,False,False,1,
2026-08-31T15:42:27.894267Z,94,ABDC,11839,International Journal of Management,4374,International Journal of Arts Management,0.9333,False,False,1,
2026-08-31T15:42:27.894267Z,95,ABDC,11839,International Journal of Management,3161,International Journal of Rural Management,0.9211,False,False,2,
2026-08-31T15:42:27.894267Z,96,ABDC,11839,International Journal of Management,1254,International Journal of Stress Management,0.9091,False,False,3,
2026-08-31T15:42:27.894267Z,97,ABDC,11840,International Journal of Management and Network Economics,133,International Journal of Economics and Management,0.9245,False,False,1,
2026-08-31T15:42:27.894267Z,98,ABDC,11878,International Journal of Sport Management,3074,International Journal of Project Management,0.9286,False,False,1,
2026-08-31T15:42:27.894267Z,99,ABDC,11878,International Journal of Sport Management,15585,International Journal of Management Practice,0.9176,False,False,2,
2026-08-31T15:42:27.894267Z,100,ABDC,11878,International Journal of Sport Management,1254,International Journal of Stress Management,0.9157,False,False,3,
2026-08-31T15:42:27.894267Z,101,ABDC,11878,International Journal of Sport Management,4776,International Journal of Procurement Management,0.9091,False,False,4,
2026-08-31T15:42:27.894267Z,102,ABDC,11878,International Journal of Sport Management,3161,International Journal of Rural Management,0.9024,False,False,5,
2026-08-31T15:42:27.894267Z,103,ABDC,11900,International Journal of Tourism Sciences,4672,International Journal of Urban Sciences,0.9000,False,False,1,
2026-08-31T15:42:27.894267Z,104,ABDC,11942,International Tax Journal,14922,International Trade Journal,0.9231,False,False,1,
2026-08-31T15:42:27.894267Z,105,ABDC,11942,International Tax Journal,14486,International Journal,0.9130,False,False,2,
2026-08-31T15:42:27.894267Z,106,ABDC,12040,Journal of Business & Economic Studies,11459,Journal of Asian Business and Economic Studies,0.9302,False,False,1,
