Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;17,897;Q1;1495;2149;7665;52777;163099;3722;24,09;24,56;37,59;496;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
2;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;14,589;Q1;1433;2976;9326;47155;148010;4215;15,63;15,85;33,00;359;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
3;19700182758;"Nature Communications";journal;"20411723";"Nature Research";Yes;No;4,846;-;634;7029;16752;410462;271789;16485;15,80;58,40;35,52;691;United Kingdom;Western Europe;"Nature Research";"2010-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
4;21100457028;"Science Advances";journal;"23752548";"American Association for the Advancement of Science";Yes;No;4,586;Q1;325;2011;4258;122009;64486;4229;14,26;60,67;33,46;181;United States;Northern America;"American Association for the Advancement of Science";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
5;21121;"Proceedings of the National Academy of Sciences of the United States of America";journal;"10916490, 00278424";"National Academy of Sciences";Yes;No;4,184;Q1;929;4084;11722;209872;132154;10550;10,80;51,39;34,74;514;United States;Northern America;"National Academy of Sciences";"1917, 1933, 1945-1952, 1954-1955, 1960-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
6;21100409368;"National Science Review";journal;"20955138, 2053714X";"Oxford University Press";Yes;No;2,842;Q1;142;274;580;11194;6146;437;10,59;40,85;33,04;20;United Kingdom;Western Europe;"Oxford University Press";"2014-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
7;21100405003;"Science Bulletin";journal;"20959273, 20959281";"Elsevier B.V.";No;No;2,503;Q1;177;360;901;13926;8705;659;11,16;38,68;33,79;9;Netherlands;Western Europe;"Elsevier B.V.";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
8;21101038708;"Innovation";journal;"26666758";"Cell Press";Yes;No;2,392;Q1;73;100;58;5240;811;28;13,98;52,40;32,49;16;United States;Northern America;"Cell Press";"2020-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
9;21100943285;"Research";journal;"26395274, 20965168";"American Association for the Advancement of Science";Yes;No;2,071;Q1;76;129;271;7927;2446;270;9,19;61,45;32,66;1;United States;Northern America;"American Association for the Advancement of Science";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
10;19700168304;"Journal of Advanced Research";journal;"20901224, 20901232";"Elsevier B.V.";Yes;No;1,870;Q1;122;143;286;9322;4066;282;13,70;65,19;39,69;1;Netherlands;Western Europe;"Elsevier B.V.";"2010-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
11;21100907125;"iScience";journal;"25890042";"Elsevier Inc.";Yes;No;1,592;Q1;113;1483;1804;95671;10847;1786;5,88;64,51;37,54;77;United States;Northern America;"Elsevier Inc.";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
