Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21206;"Nature";journal;"14764687, 00280836";"Nature Research";No;No;14,047;Q1;1495;2513;9126;42933;113795;4514;11,64;17,08;31,30;469;United Kingdom;Western Europe;"Nature Research";"1869-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
2;23571;"Science";journal;"10959203, 00368075";"American Association for the Advancement of Science";Yes;No;13,110;Q1;1433;3085;7679;39795;107471;4505;11,78;12,90;30,18;351;United States;Northern America;"American Association for the Advancement of Science";"1880-1881, 1883-2026";"History and Philosophy of Science (Q1); Multidisciplinary (Q1)";"Arts and Humanities; Multidisciplinary"
3;21100457028;"Science Advances";journal;"23752548";"American Association for the Advancement of Science";Yes;No;6,062;Q1;325;1230;2153;60090;31023;2138;13,67;48,85;29,98;179;United States;Northern America;"American Association for the Advancement of Science";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
4;19700182758;"Nature Communications";journal;"20411723";"Nature Research";Yes;No;5,569;-;634;5495;13037;292538;162645;12900;11,73;53,24;34,22;583;United Kingdom;Western Europe;"Nature Research";"2010-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
5;21121;"Proceedings of the National Academy of Sciences of the United States of America";journal;"10916490, 00278424";"National Academy of Sciences";Yes;No;5,165;Q1;929;3815;11136;172441;100696;9964;8,39;45,20;34,52;526;United States;Northern America;"National Academy of Sciences";"1917, 1933, 1945-1952, 1954-1955, 1960-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
6;21100409368;"National Science Review";journal;"20955138, 2053714X";"Oxford University Press";Yes;No;2,243;Q1;142;197;327;7110;1860;213;6,46;36,09;31,81;13;United Kingdom;Western Europe;"Oxford University Press";"2014-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
7;21100907125;"iScience";journal;"25890042";"Elsevier Inc.";Yes;No;1,707;Q1;113;504;219;26875;986;216;4,50;53,32;36,84;21;United States;Northern America;"Elsevier Inc.";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
8;21100405003;"Science Bulletin";journal;"20959273, 20959281";"Elsevier B.V.";No;No;1,517;Q1;177;295;787;11103;4005;633;6,03;37,64;31,28;12;Netherlands;Western Europe;"Elsevier B.V.";"2015-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
9;21100943285;"Research";journal;"26395274, 20965168";"American Association for the Advancement of Science";Yes;No;1,489;Q1;76;109;20;5810;84;19;4,20;53,30;30,57;0;United States;Northern America;"American Association for the Advancement of Science";"2018-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
10;21100200805;"Scientific Reports";journal;"20452322";"Nature Research";Yes;No;1,341;Q1;382;19521;61719;944605;283321;61717;4,16;48,39;37,08;1556;United Kingdom;Western Europe;"Nature Research";"2011-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
11;10600153309;"PLOS ONE";journal;"19326203";"Public Library of Science";Yes;No;1,023;Q1;500;15516;60127;722779;194923;60110;2,95;46,58;41,47;2762;United States;Northern America;"Public Library of Science";"2006-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
12;19700168304;"Journal of Advanced Research";journal;"20901224, 20901232";"Elsevier B.V.";Yes;No;0,989;Q1;122;85;239;5129;1783;233;7,75;60,34;39,49;5;Netherlands;Western Europe;"Elsevier B.V.";"2010-2026";"Multidisciplinary (Q1)";"Multidisciplinary"
