Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;22,836;Q1;386;95;227;5424;2101;220;9,85;57,09;16,64;42;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;17,669;Q1;355;111;499;6352;6906;494;11,31;57,23;17,33;55;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;16,546;Q1;268;87;407;5617;3606;406;6,45;64,56;22,08;43;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;20206;"Academy of Management Review";journal;"03637425";"Academy of Management";No;No;14,402;Q1;334;51;135;5354;2282;126;9,43;104,98;28,18;1;United States;Northern America;"Academy of Management";"1976-1991, 1993-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
5;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;13,877;Q1;132;23;64;5065;1125;62;16,39;220,22;26,67;3;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
6;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;13,394;Q1;309;50;175;3723;2933;153;15,86;74,46;37,06;4;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";"Annual Reviews Inc.";No;No;12,191;Q1;98;21;52;2548;1497;49;30,41;121,33;41,38;4;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
8;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;10,528;Q1;410;59;233;6497;2548;225;8,95;110,12;41,67;6;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
9;17700155016;"Handbook of Industrial Organization";book series;"1573448X";"Elsevier B.V.";No;No;10,234;Q1;16;0;17;0;76;17;0,00;0,00;0,00;0;Netherlands;Western Europe;"Elsevier B.V.";"1989, 2007, 2021";"Economics and Econometrics (Q1); Finance (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;22330;"Organizational Research Methods";journal;"15527425, 10944281";"SAGE Publications Inc.";No;No;10,181;Q1;158;24;86;1816;1697;83;26,07;75,67;25,68;0;United States;Northern America;"SAGE Publications Inc.";"1998-2026";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
