Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;15,633;Q1;132;23;72;6475;1607;71;20,86;281,52;39,44;6;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
2;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;15,515;Q1;386;71;230;4079;1771;223;6,90;57,45;16,22;59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,239;Q1;268;127;407;7766;3915;406;8,86;61,15;17,90;93;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;10,910;Q1;410;79;223;9033;2521;222;9,10;114,34;40,65;7;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
5;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;10,802;Q1;309;53;166;3755;2548;143;12,41;70,85;34,21;8;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
6;20206;"Academy of Management Review";journal;"03637425";"Academy of Management";No;No;10,687;Q1;334;40;167;3583;1954;153;12,05;89,58;30,11;3;United States;Northern America;"Academy of Management";"1976-1991, 1993-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
7;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;10,601;Q1;355;201;495;11672;4338;491;7,83;58,07;21,02;148;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
8;23157;"Strategic Management Journal";journal;"10970266, 01432095";"John Wiley and Sons Ltd";No;No;8,497;Q1;370;102;272;8259;2516;269;7,85;80,97;29,34;21;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1980-2026";"Business and International Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
9;23714;"Marketing Science";journal;"07322399, 1526548X";"INFORMS Institute for Operations Research and the Management Sciences";No;No;7,593;Q1;166;59;169;2478;1106;163;4,97;42,00;27,56;20;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1985, 1991, 1993, 1995-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;22961;"Journal of Marketing Research";journal;"00222437, 15477193";"SAGE Publications Ltd";No;No;7,415;Q1;221;64;180;3874;1488;177;5,92;60,53;34,62;15;United States;Northern America;"SAGE Publications Ltd";"1967-1968, 1971-1973, 1976-1981, 1983, 1986-1987, 1989-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
