Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;17,134;Q1;386;75;205;3839;1562;204;6,88;51,19;17,65;56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
2;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,837;Q1;268;125;322;6752;1931;322;4,69;54,02;16,89;103;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
3;19900191906;"Academy of Management Annals";journal;"19416520, 19416067";"Academy of Management";No;No;12,595;Q1;132;23;71;5376;1190;69;14,38;233,74;38,27;10;United States;Northern America;"Academy of Management";"2007, 2010-2025";"Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting"
4;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;11,999;Q1;355;134;358;6850;2444;358;6,00;51,12;19,10;100;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";"University of Chicago Press";No;No;11,572;Q1;143;50;123;2147;635;121;3,52;42,94;20,00;47;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2026";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
6;20191;"Academy of Management Journal";journal;"00014273";"Academy of Management";No;No;11,190;Q1;410;76;280;7778;2998;280;8,40;102,34;38,86;21;United States;Northern America;"Academy of Management";"1961, 1966-1968, 1973, 1975-2025";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
7;12817;"Personnel Psychology";journal;"00315826, 17446570";"Wiley-Blackwell";No;No;8,770;Q1;183;22;69;2311;623;66;6,83;105,05;34,29;5;United States;Northern America;"Wiley-Blackwell";"1948-2026";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1)";"Business, Management and Accounting; Psychology"
8;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;8,626;Q1;309;47;147;3515;1646;143;6,23;74,79;34,38;14;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;23157;"Strategic Management Journal";journal;"10970266, 01432095";"John Wiley and Sons Ltd";No;No;8,430;Q1;370;91;439;7323;3237;427;6,36;80,47;25,65;35;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1980-2026";"Business and International Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting"
10;21100863710;"Annual Review of Organizational Psychology and Organizational Behavior";journal;"23270608";"Annual Reviews Inc.";No;No;7,999;Q1;98;19;59;2030;762;57;12,44;106,84;47,73;8;United States;Northern America;"Annual Reviews Inc.";"2014-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Social Psychology (Q1)";"Business, Management and Accounting; Psychology"
