Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
16;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;5,679;Q1;203;115;264;9350;2945;259;11,02;81,30;26,10;2;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
17;144974;"Journal of Service Research";journal;"10946705, 15527379";"SAGE Publications Inc.";No;No;5,517;Q1;165;58;115;4017;1700;109;12,42;69,26;40,44;2;United States;Northern America;"SAGE Publications Inc.";"1998-2026";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
18;15557;"American Political Science Review";journal;"15375943, 00030554";"Cambridge University Press";No;No;5,433;Q1;228;170;350;12671;2925;341;7,42;74,54;35,69;0;United Kingdom;Western Europe;"Cambridge University Press";"1906-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
19;21101041612;"The Lancet Healthy Longevity";journal;"26667568";"Elsevier Ltd";Yes;No;5,433;Q1;60;131;433;4077;3769;198;8,92;31,12;54,78;7;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2026";"Family Practice (Q1); Geriatrics and Gerontology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Social Sciences"
20;16512;"Review of Educational Research";journal;"00346543, 19351046";"SAGE Publications Inc.";No;No;5,040;Q1;210;85;74;10746;1294;73;14,39;126,42;67,65;5;United States;Northern America;"SAGE Publications Inc.";"1931-2026";"Education (Q1)";"Social Sciences"
21;14278;"Educational Psychology Review";journal;"1040726X, 1573336X";"Springer New York";No;No;4,840;Q1;172;116;341;12594;5221;314;12,37;108,57;53,47;4;United States;Northern America;"Springer New York";"1989-2026";"Developmental and Educational Psychology (Q1); Education (Q1)";"Psychology; Social Sciences"
22;21100858657;"The Lancet Planetary Health";journal;"25425196";"Elsevier B.V.";Yes;No;4,577;Q1;106;168;464;4867;5562;306;10,64;28,97;45,75;7;Netherlands;Western Europe;"Elsevier B.V.";"2017-2026";"Health Policy (Q1); Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Social Sciences"
23;16547;"Tourism Management";journal;"02615177, 18793193";"Elsevier Ltd";No;No;4,496;Q1;296;210;405;17847;8327;403;19,63;84,99;41,81;0;United Kingdom;Western Europe;"Elsevier Ltd";"1982-2026";"Development (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Social Sciences"
24;17645;"Computers and Education";journal;"03601315";"Elsevier Ltd";No;No;4,434;Q1;267;152;462;13518;8340;462;17,71;88,93;45,00;8;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2026";"Computer Science (miscellaneous) (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
25;145558;"Political Analysis";journal;"10471987, 14764989";"Cambridge University Press";No;No;4,368;Q1;96;57;121;2371;1162;121;9,72;41,60;27,40;4;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2000, 2002-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
26;11800154593;"Strategic Organization";journal;"1741315X, 14761270";"SAGE Publications Ltd";No;No;4,360;Q1;88;56;128;4833;839;117;4,67;86,30;34,44;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2026";"Business and International Management (Q1); Education (Q1); Industrial Relations (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
27;21100261712;"Analytic Methods in Accident Research";journal;"22136657";"Elsevier B.V.";No;No;4,293;Q1;72;23;93;1717;1195;93;11,13;74,65;19,23;0;United Kingdom;Western Europe;"Elsevier B.V.";"2014-2026";"Safety Research (Q1); Transportation (Q1)";"Social Sciences"
28;4700152248;"Educational Research Review";journal;"1747938X";"Elsevier Ltd";No;No;4,291;Q1;128;72;153;8404;2597;152;13,28;116,72;57,84;0;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2026";"Education (Q1)";"Social Sciences"
29;21100981101;"Smart Learning Environments";journal;"21967091";"SpringerOpen";Yes;No;4,239;Q1;54;70;164;4514;4376;159;27,68;64,49;47,28;0;United Kingdom;Western Europe;"SpringerOpen";"2014-2018, 2020-2026";"Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
30;28179;"Journal of Advertising";journal;"15577805, 00913367";"Routledge";No;No;4,201;Q1;151;56;143;4069;1870;127;12,06;72,66;47,17;1;United States;Northern America;"Routledge";"1972-2026";"Business and International Management (Q1); Communication (Q1); Marketing (Q1)";"Business, Management and Accounting; Social Sciences"
31;25835;"International Security";journal;"15314804, 01622889";"MIT Press";No;No;4,166;Q1;136;21;55;2118;402;44;6,03;100,86;22,22;4;United States;Northern America;"MIT Press";"1984, 1996-2025";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
32;27069;"Human Relations";journal;"00187267, 1741282X";"SAGE Publications Ltd";No;No;4,141;Q1;181;76;214;6613;2325;212;8,48;87,01;56,31;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1947-2026";"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
