Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;31,348;Q1;336;48;121;3406;2516;120;17,20;70,96;30,37;48;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;20,361;Q1;399;116;352;6975;4171;351;10,63;60,13;18,03;50;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;18,476;Q1;235;83;243;4421;2444;241;9,39;53,27;13,73;73;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
4;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;16,463;Q1;386;79;217;4143;1816;213;7,00;52,44;14,46;66;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;15,527;Q1;184;90;208;4870;1442;208;6,43;54,11;13,53;76;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;13,199;Q1;242;93;211;4290;1301;199;5,20;46,13;10,26;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
7;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;11,670;Q1;268;162;366;9314;2854;366;7,85;57,49;18,50;116;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
8;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;10,418;Q1;355;209;400;11709;3402;399;7,00;56,02;19,05;161;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;10,079;Q1;124;38;135;1981;1047;135;7,37;52,13;26,04;33;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
10;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;9,804;Q1;96;45;110;2405;644;110;5,90;53,44;17,31;42;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
