Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;36,730;Q1;336;48;129;3272;2450;129;15,17;68,17;21,33;47;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;21,833;Q1;399;117;353;7171;4170;352;9,92;61,29;26,28;85;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;20,643;Q1;235;73;258;4302;2663;255;8,18;58,93;17,79;66;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
4;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;15,515;Q1;386;71;230;4079;1771;223;6,90;57,45;16,22;59;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;14,432;Q1;184;91;232;5795;1521;232;5,06;63,68;13,85;84;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;12,979;Q1;242;92;236;4257;1349;231;5,10;46,27;18,09;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
7;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;12,966;Q1;199;30;67;4735;974;67;11,74;157,83;16,13;22;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;12,694;Q1;124;59;127;3700;1052;127;5,84;62,71;22,70;40;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
9;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,239;Q1;268;127;407;7766;3915;406;8,86;61,15;17,90;93;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;10,871;Q1;96;54;123;2783;765;123;5,64;51,54;9,24;49;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
11;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;10,802;Q1;309;53;166;3755;2548;143;12,41;70,85;34,21;8;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
12;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;10,601;Q1;355;201;495;11672;4338;491;7,83;58,07;21,02;148;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
13;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;10,247;Q1;97;33;90;3832;748;90;5,53;116,12;24,39;33;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
14;28980;"Journal of Economic Perspectives";journal;"08953309, 19447965";"American Economic Association";No;No;8,590;Q1;253;41;128;2638;1646;127;9,04;64,34;34,74;30;United States;Northern America;"American Economic Association";"1987, 1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
15;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";"MIT Press";No;No;8,371;Q1;219;90;197;4125;1185;197;5,20;45,83;26,55;83;United States;Northern America;"MIT Press";"1978-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
16;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";"American Economic Association";No;No;8,175;Q1;106;65;152;3636;942;152;4,97;55,94;31,82;57;United States;Northern America;"American Economic Association";"2009-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
17;23714;"Marketing Science";journal;"07322399, 1526548X";"INFORMS Institute for Operations Research and the Management Sciences";No;No;7,593;Q1;166;59;169;2478;1106;163;4,97;42,00;27,56;20;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1985, 1991, 1993, 1995-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
18;22961;"Journal of Marketing Research";journal;"00222437, 15477193";"SAGE Publications Ltd";No;No;7,415;Q1;221;64;180;3874;1488;177;5,92;60,53;34,62;15;United States;Northern America;"SAGE Publications Ltd";"1967-1968, 1971-1973, 1976-1981, 1983, 1986-1987, 1989-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
19;20635;"Journal of Management";journal;"01492063, 15571211";"SAGE Publications Inc.";No;No;7,213;Q1;315;77;252;8684;3713;241;13,69;112,78;32,33;13;United States;Northern America;"SAGE Publications Inc.";"1975-2026";"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
20;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";"Springer New York";No;No;6,248;Q1;234;63;188;5621;3181;172;19,07;89,22;33,68;7;United States;Northern America;"Springer New York";"1973-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
