Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;36,220;Q1;336;41;119;2662;2005;118;12,94;64,93;17,95;39;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;21,239;Q1;235;70;183;3812;1211;153;5,05;54,46;15,24;66;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;17,134;Q1;386;75;205;3839;1562;204;6,88;51,19;17,65;56;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;14,563;Q1;242;59;186;2867;870;169;3,78;48,59;13,74;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;14,235;Q1;184;74;160;4009;819;160;4,41;54,18;16,48;70;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;20110;"NBER Macroeconomics Annual";book series;"15372642, 08893365";"University of Chicago Press";No;No;13,793;Q1;76;20;68;442;141;22;0,91;22,10;0,00;10;United States;Northern America;"University of Chicago Press";"1996-2014, 2016, 2018-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
7;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;13,773;Q1;399;117;645;6290;4076;632;5,71;53,76;15,94;112;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,837;Q1;268;125;322;6752;1931;322;4,69;54,02;16,89;103;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;11,999;Q1;355;134;358;6850;2444;358;6,00;51,12;19,10;100;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;20246;"Journal of Labor Economics";journal;"0734306X, 15375307";"University of Chicago Press";No;No;11,572;Q1;143;50;123;2147;635;121;3,52;42,94;20,00;47;United States;Northern America;"University of Chicago Press";"1985-1989, 1991, 1993, 1995-2026";"Economics and Econometrics (Q1); Industrial Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
11;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;10,788;Q1;124;46;125;2410;772;125;5,63;52,39;29,51;38;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
12;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;9,677;Q1;199;21;96;2615;706;96;7,31;124,52;17,86;9;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
13;28980;"Journal of Economic Perspectives";journal;"08953309, 19447965";"American Economic Association";No;No;8,761;Q1;253;45;145;2710;1787;141;13,44;60,22;21,84;40;United States;Northern America;"American Economic Association";"1987, 1992-1994, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
14;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;8,626;Q1;309;47;147;3515;1646;143;6,23;74,79;34,38;14;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
15;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;7,907;Q1;97;35;66;3653;428;66;4,11;104,37;19,70;31;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
16;7500153126;"Journal of the European Economic Association";journal;"15424774, 15424766";"Wiley-Blackwell";No;No;7,832;Q1;130;50;125;2545;506;125;3,41;50,90;22,58;48;United States;Northern America;"Wiley-Blackwell";"2003-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
17;19900191885;"American Economic Journal: Macroeconomics";journal;"19457707, 19457715";"American Economic Association";No;No;7,711;Q1;96;40;95;2072;349;95;3,64;51,80;10,64;31;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
18;22899;"Journal of Consumer Research";journal;"00935301, 15375277";"Oxford University Press";No;No;7,595;Q1;248;62;185;4619;1300;182;6,56;74,50;54,36;7;United Kingdom;Western Europe;"Oxford University Press";"1975, 1977-1978, 1984, 1988, 1991-1992, 1996-2026";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
19;19900191884;"American Economic Journal: Economic Policy";journal;"19457731, 1945774X";"American Economic Association";No;No;7,548;Q1;106;44;138;2180;719;138;4,47;49,55;27,18;44;United States;Northern America;"American Economic Association";"2009-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
20;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";"MIT Press";No;No;7,538;Q1;219;67;213;2799;1041;213;4,51;41,78;23,17;62;United States;Northern America;"MIT Press";"1978-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
21;22961;"Journal of Marketing Research";journal;"00222437, 15477193";"SAGE Publications Ltd";No;No;7,325;Q1;221;60;191;3413;1298;190;5,77;56,88;24,22;9;United States;Northern America;"SAGE Publications Ltd";"1967-1968, 1971-1973, 1976-1981, 1983, 1986-1987, 1989-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
22;28418;"Brookings Papers on Economic Activity";journal;"00072303, 15334465";"Brookings Institution Press";No;No;7,172;Q1;104;13;45;1004;359;43;9,13;77,23;22,86;11;United States;Northern America;"Brookings Institution Press";"1990, 1992, 1996-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
23;23714;"Marketing Science";journal;"07322399, 1526548X";"INFORMS Institute for Operations Research and the Management Sciences";No;No;7,172;Q1;166;52;162;2220;746;155;3,68;42,69;25,44;14;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1985, 1991, 1993, 1995-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
24;29857;"Journal of Accounting Research";journal;"1475679X, 00218456";"Wiley-Blackwell Publishing Ltd";No;No;6,996;Q1;186;32;98;2263;607;98;4,11;70,72;31,43;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
25;20635;"Journal of Management";journal;"01492063, 15571211";"SAGE Publications Inc.";No;No;6,982;Q1;315;110;292;11690;3353;276;10,32;106,27;31,83;35;United States;Northern America;"SAGE Publications Inc.";"1975-2026";"Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
26;19600166418;"Tax Policy and the Economy";book series;"15372650, 08928649";"University of Chicago Press";No;No;6,861;Q1;20;6;21;193;42;18;0,54;32,17;14,29;4;United States;Northern America;"University of Chicago Press";"2009-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
27;28978;"Journal of Economic Growth";journal;"15737020, 13814338";"Springer New York";No;No;6,666;Q1;107;12;39;790;318;39;3,42;65,83;15,38;11;United States;Northern America;"Springer New York";"1996-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
28;29838;"Journal of Accounting and Economics";journal;"01654101";"Elsevier B.V.";No;No;5,821;Q1;207;44;135;2567;704;134;3,99;58,34;21,00;15;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
29;6400153126;"Theoretical Economics";journal;"15557561, 19336837";"";Yes;No;5,672;Q1;43;40;119;1420;232;119;1,67;35,50;13,92;0;United Kingdom;Western Europe;"";"2007-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
30;17555;"Journal of Monetary Economics";journal;"03043932";"Elsevier B.V.";No;No;5,474;Q1;165;78;211;2511;619;189;2,68;32,19;16,56;59;Netherlands;Western Europe;"Elsevier B.V.";"1975-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
31;23011;"Economic Journal";journal;"14680297, 00130133";"Wiley-Blackwell";No;No;5,453;Q1;205;106;341;5645;1220;341;2,98;53,25;27,24;86;United States;Northern America;"Wiley-Blackwell";"1961, 1963, 1970, 1973, 1976, 1979-1986, 1988-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
32;28096;"Accounting Review";journal;"00014826, 15587967";"American Accounting Association";No;No;5,446;Q1;217;96;219;5475;1112;217;4,01;57,03;32,75;21;United States;Northern America;"American Accounting Association";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
33;24385;"Journal of the Academy of Marketing Science";journal;"00920703, 15527824";"Springer New York";No;No;5,309;Q1;234;62;164;4722;1733;138;8,52;76,16;37,64;9;United States;Northern America;"Springer New York";"1973-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
34;21100926579;"Review of Corporate Finance Studies";journal;"20469136, 20469128";"Oxford University Press";No;No;5,181;Q1;30;11;23;618;57;23;1,87;56,18;8,33;8;United States;Northern America;"Oxford University Press";"2012-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
35;24392;"Journal of International Business Studies";journal;"00472506, 14786990";"Palgrave Macmillan";No;No;4,994;Q1;254;76;173;7216;1473;167;8,16;94,95;32,40;31;United Kingdom;Western Europe;"Palgrave Macmillan";"1975-2026";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
36;11600153422;"Review of Environmental Economics and Policy";journal;"17506824, 17506816";"University of Chicago Press";No;No;4,923;Q1;80;23;65;1314;507;59;6,56;57,13;32,79;18;United States;Northern America;"University of Chicago Press";"2008-2026";"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)";"Economics, Econometrics and Finance; Environmental Science"
37;24870;"Journal of Human Resources";journal;"15488004, 0022166X";"University of Wisconsin Press";No;No;4,777;Q1;135;32;96;1478;383;96;3,28;46,19;41,25;2;United States;Northern America;"University of Wisconsin Press";"1976-1982, 1988, 1990, 1992-2025";"Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
38;28996;"Journal of Financial Intermediation";journal;"10960473, 10429573";"Academic Press Inc.";No;No;4,747;Q1;101;24;88;897;296;85;2,73;37,38;20,00;19;United States;Northern America;"Academic Press Inc.";"1990-2026";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
