Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;34,573;Q1;336;40;120;2733;1962;119;14,72;68,33;21,37;39;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;21,034;Q1;235;105;214;5811;1624;182;8,07;55,34;19,92;102;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;18,151;Q1;386;76;205;3888;1690;202;6,05;51,16;16,17;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;16,936;Q1;399;120;499;6639;3972;489;8,48;55,33;22,71;84;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;16,700;Q1;242;84;188;3862;1049;171;5,17;45,98;13,76;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;15,641;Q1;184;68;183;3995;1038;183;5,58;58,75;17,88;58;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
7;19900191767;"American Economic Journal: Applied Economics";journal;"19457790, 19457782";"American Economic Association";No;No;12,996;Q1;124;43;134;2271;989;134;6,84;52,81;24,53;43;United States;Northern America;"American Economic Association";"2009-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;12,800;Q1;268;120;355;6948;2281;355;5,30;57,90;20,28;88;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;11,771;Q1;199;21;89;3698;878;89;8,13;176,10;19,51;0;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
10;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;11,673;Q1;355;152;369;7843;2744;368;6,16;51,60;19,84;119;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
